WARNING: query AMB1262_Diego|NODE_15567_length_2902_cov_10.448542 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1328_Aguacatecombined|NODE_605_length_3577_cov_12.049972 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1330_Aguacate|NODE_1843_length_2695_cov_16.159470 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1331_Aguacate|NODE_1131_length_2871_cov_14.825639 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1331_Aguacate|NODE_220068_length_435_cov_2.257895 matched multiple targets AT3G04260.1output_forward_paired_(paired)_trimmed_(paired)_contig_17255_3,AT3G04260.1output_forward_paired_(paired)_trimmed_(paired)_contig_17255_4; excluded
WARNING: query AMB1331_Aguacate|NODE_279935_length_382_cov_6.391437 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1331_Aguacate|NODE_519206_length_261_cov_2.766990 matched multiple targets AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_5,AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_6; excluded
WARNING: query AMB1331_Aguacate|NODE_616352_length_243_cov_3.031915 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1342_Aguacate|NODE_192_length_2171_cov_4.430057 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1343_Aguacate|NODE_199_length_2047_cov_4.284137 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1344_Aguacate|NODE_211_length_1667_cov_3.159429 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1351_Cocle|NODE_453_length_2824_cov_12.794872 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1355_Cocle|NODE_828048_length_220_cov_1.151515 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1355_Cocle|NODE_892_length_2637_cov_8.432223 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1359_Cocle|NODE_886_length_2589_cov_15.183110 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1360_Cocle|NODE_1239_length_2597_cov_10.968529 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1361_Cocle|NODE_1058797_length_223_cov_1.130952 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1361_Cocle|NODE_1528_length_2530_cov_10.181818 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1361_Cocle|NODE_315030_length_470_cov_6.409639 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1361_Cocle|NODE_814248_length_258_cov_0.935961 matched multiple targets Arath-5921output_forward_paired_(paired)_trimmed_(paired)_contig_8084_2,Arath-5921output_forward_paired_(paired)_trimmed_(paired)_contig_8084_4; excluded
WARNING: query AMB1362_Cocle|NODE_550629_length_384_cov_1.644377 matched multiple targets AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525,AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525_2; excluded
WARNING: query AMB1362_Cocle|NODE_6669_length_2594_cov_13.702245 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1366_Paraiso|NODE_2372_length_3131_cov_9.008127 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1366_Paraiso|NODE_256643_length_504_cov_9.309577 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1367_Paraiso|NODE_180890_length_460_cov_7.506173 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1367_Paraiso|NODE_1991_length_2671_cov_6.971713 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1368_Paraiso|NODE_255885_length_513_cov_2.486900 matched multiple targets Assembly_000000036063_Contig_18_191,Assembly_000000036063_Contig_24_127; excluded
WARNING: query AMB1368_Paraiso|NODE_4216_length_2495_cov_11.488934 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1368_Paraiso|NODE_690046_length_252_cov_1.928934 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1372_Paraiso|NODE_2709_length_2520_cov_9.298580 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1372_Paraiso|NODE_329702_length_387_cov_1.144578 matched multiple targets AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_2,AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_3; excluded
WARNING: query AMB1375_Paraiso|NODE_1180_length_2684_cov_9.972613 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1375_Paraiso|NODE_260741_length_404_cov_2.177650 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1375_Paraiso|NODE_749232_length_236_cov_1.049724 matched multiple targets Arath-4992output_forward_paired_(paired)_trimmed_(paired)_contig_19677_4,Arath-4992output_forward_paired_(paired)_trimmed_(paired)_contig_19677_6; excluded
WARNING: query AMB1377_Paraiso|NODE_451881_length_259_cov_0.931373 matched multiple targets AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_5,AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_6; excluded
WARNING: query AMB1377_Paraiso|NODE_482_length_2518_cov_5.291920 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1380_Paraiso|NODE_1037_length_2535_cov_6.358468 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1380_Paraiso|NODE_117991_length_480_cov_5.811765 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1381_Paraiso|NODE_266_length_2719_cov_4.921171 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
